20,0,750.578000,-179.101000,664.569667,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
21,0,750.578000,-179.101000,668.736333,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
22,0,750.578000,-179.101000,672.903000,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
23,0,750.578000,-179.101000,677.069667,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
24,0,750.578000,-179.101000,681.236333,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
25,0,750.578000,-179.101000,685.403000,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
26,0,750.578000,-179.101000,689.569667,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
27,0,750.578000,-179.101000,693.736333,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
28,0,750.578000,-179.101000,697.903000,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
29,0,750.578000,-179.101000,702.069667,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
30,0,750.578000,-179.101000,706.236333,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
31,0,750.578000,-179.101000,710.403000,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
32,0,750.578000,-179.101000,714.569667,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
33,0,750.578000,-179.101000,718.736333,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
34,0,750.578000,-179.101000,722.903000,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
35,0,750.578000,-179.101000,727.069667,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
36,0,750.578000,-179.101000,731.236333,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
37,0,750.578000,-179.101000,735.403000,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
38,0,750.578000,-179.101000,739.569667,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
39,0,750.578000,-179.101000,743.736333,-8.987000,-33.239000,-24.061000,0.000000,0.000000,0
