index,sequence,camera_timestamp_us,system_recv_timestamp_us,camera_delta_us,system_delta_us,camera_to_system_ratio,target_x,target_y,target_z,error
235,241,10868406171,11247934132,16575,8384,1.976980,17.634117,-18.880390,291.453578,识别正常(1)
236,242,10868422863,11247954227,16692,20095,0.830654,17.634196,-18.879351,291.453225,识别正常(1)
237,243,10868439623,11247974311,16760,20084,0.834495,17.634126,-18.878497,291.453570,识别正常(1)
238,244,10868456106,11247984900,16483,10589,1.556615,17.633963,-18.881766,291.454276,识别正常(1)
239,245,10868472832,11248006606,16726,21706,0.770570,17.634087,-18.879830,291.453731,识别正常(1)
240,246,10868489613,11248024728,16781,18122,0.926002,17.634143,-18.880619,291.453451,识别正常(1)
241,247,10868506554,11248035309,16941,10581,1.601077,17.634523,-18.881425,291.451653,识别正常(1)
242,248,10868523644,11248054404,17090,19095,0.894999,17.634028,-18.880729,291.453988,识别正常(1)
243,249,10868540381,11248075545,16737,21141,0.791684,17.633860,-18.880078,291.454793,识别正常(1)
244,250,10868556691,11248084943,16310,9398,1.735476,17.634157,-18.880939,291.453377,识别正常(1)
245,251,10868573658,11248105156,16967,20213,0.839410,17.634015,-18.879725,291.454071,识别正常(1)
246,252,10868590418,11248125634,16760,20478,0.818439,17.634422,-18.881358,291.452125,识别正常(1)
247,253,10868606722,11248134659,16304,9025,1.806537,17.634574,-18.880437,291.451432,识别正常(1)
248,254,10868623605,11248154872,16883,20213,0.835255,17.634271,-18.878855,291.452886,识别正常(1)
249,255,10868640445,11248176720,16840,21848,0.770780,17.634274,-18.879191,291.452864,识别正常(1)
250,256,10868656714,11248184792,16269,8072,2.015486,17.634569,-18.880505,291.451453,识别正常(1)
251,257,10868673628,11248208187,16914,23395,0.722975,17.634274,-18.880924,291.452832,识别正常(1)
252,258,10868690401,11248224631,16773,16444,1.020007,17.634426,-18.878500,291.452165,识别正常(1)
253,259,10868706717,11248239097,16316,14466,1.127886,17.634500,-18.879966,291.451789,识别正常(1)
254,260,10868723642,11248255569,16925,16472,1.027501,17.634529,-18.879423,291.451662,识别正常(1)
255,261,10868740399,11248276034,16757,20465,0.818813,17.634534,-18.879633,291.451633,识别正常(1)
256,262,10868756759,11248284674,16360,8640,1.893519,17.634963,-18.882045,291.449572,识别正常(1)
257,263,10868773588,11248307589,16829,22915,0.734410,17.634340,-18.880968,291.452517,识别正常(1)
258,264,10868790431,11248324820,16843,17231,0.977482,17.634424,-18.880239,291.452141,识别正常(1)
259,265,10868806727,11248334902,16296,10082,1.616346,17.634120,-18.880761,291.453558,识别正常(1)
260,266,10868823652,11248354594,16925,19692,0.859486,17.634213,-18.880593,291.453124,识别正常(1)
261,267,10868840439,11248376836,16787,22242,0.754743,17.634389,-18.880052,291.452308,识别正常(1)
262,268,10868857045,11248386015,16606,9179,1.809130,17.633985,-18.881701,291.454173,识别正常(1)
263,269,10868873627,11248404787,16582,18772,0.883337,17.634470,-18.880218,291.451924,识别正常(1)
264,270,10868890464,11248427502,16837,22715,0.741228,17.633914,-18.881697,291.454508,识别正常(1)
265,271,10868907081,11248435743,16617,8241,2.016382,17.634182,-18.880821,291.453262,识别正常(1)
266,272,10868923675,11248455150,16594,19407,0.855052,17.634134,-18.881051,291.453486,识别正常(1)
267,273,10868940428,11248480556,16753,25406,0.659411,17.634211,-18.880715,291.453131,识别正常(1)
268,274,10868956792,11248498166,16364,17610,0.929245,17.634133,-18.882254,291.453467,识别正常(1)
269,275,10868978242,11248508164,21450,9998,2.145429,17.634443,-18.880536,291.452044,识别正常(1)
270,276,10868995196,11248526154,16954,17990,0.942412,17.634357,-18.882322,291.452412,识别正常(1)
271,277,10869011802,11248545449,16606,19295,0.860637,17.634028,-18.884279,291.453919,识别正常(1)
272,278,10869028521,11248566717,16719,21268,0.786111,17.634049,-18.880966,291.453888,识别正常(1)
273,279,10869045130,11248574541,16609,7824,2.122827,17.634512,-18.881838,291.451695,识别正常(1)
274,280,10869061912,11248596846,16782,22305,0.752387,17.634387,-18.880358,291.452311,识别正常(1)
275,281,10869078514,11248615519,16602,18673,0.889091,17.634157,-18.881798,291.453364,识别正常(1)
276,282,10869101711,11248634304,23197,18785,1.234868,17.634622,-18.881564,291.451185,识别正常(1)
277,283,10869119238,11248648964,17527,14660,1.195566,17.633994,-18.881159,291.454143,识别正常(1)
278,284,10869135420,11248665589,16182,16625,0.973353,17.634261,-18.882352,291.452866,识别正常(1)
279,285,10869151674,11248685220,16254,19631,0.827976,17.634144,-18.881442,291.453431,识别正常(1)
280,286,10869168030,11248694177,16356,8957,1.826058,17.634045,-18.880552,291.453912,识别正常(1)
281,287,10869187181,11248715942,19151,21765,0.879899,17.634240,-18.881956,291.452971,识别正常(1)
282,288,10869203662,11248736186,16481,20244,0.814118,17.634043,-18.880624,291.453921,识别正常(1)
283,289,10869223039,11248755057,19377,18871,1.026814,17.634236,-18.882787,291.452974,识别正常(1)
284,290,10869240406,11248774129,17367,19072,0.910602,17.634312,-18.880053,291.452670,识别正常(1)
285,291,10869257154,11248784580,16748,10451,1.602526,17.634160,-18.880518,291.453375,识别正常(1)
286,292,10869273697,11248806715,16543,22135,0.747368,17.634315,-18.881312,291.452630,识别正常(1)
287,293,10869290470,11248824143,16773,17428,0.962417,17.634370,-18.882819,291.452344,识别正常(1)
288,294,10869307039,11248834625,16569,10482,1.580710,17.634302,-18.879963,291.452719,识别正常(1)
289,295,10869323590,11248855648,16551,21023,0.787281,17.634137,-18.879732,291.453496,识别正常(1)
290,296,10869340449,11248876136,16859,20488,0.822872,17.634672,-18.881138,291.450956,识别正常(1)
291,297,10869356671,11248884777,16222,8641,1.877329,17.634118,-18.882265,291.453535,识别正常(1)
292,298,10869373633,11248905252,16962,20475,0.828425,17.634133,-18.880280,291.453506,识别正常(1)
